"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 09:16:04 GMT 2024","Mon Jan 15 09:16:06 GMT 2024","2558","chromium","ContactHotel.spec.js","Room management","","","Empty subject field",""
"passed","Mon Jan 15 09:16:41 GMT 2024","Mon Jan 15 09:16:45 GMT 2024","4734","firefox","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty price field",""
"passed","Mon Jan 15 09:16:19 GMT 2024","Mon Jan 15 09:16:24 GMT 2024","4321","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
"passed","Mon Jan 15 09:16:12 GMT 2024","Mon Jan 15 09:16:17 GMT 2024","4535","chromium","ContactHotel.spec.js","Room management","","","Fill and submit contact form successfully @sanity",""
"passed","Mon Jan 15 09:16:24 GMT 2024","Mon Jan 15 09:16:28 GMT 2024","4624","chromium","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Mon Jan 15 09:16:16 GMT 2024","Mon Jan 15 09:16:21 GMT 2024","4869","firefox","ContactHotel.spec.js","Room management","","","Empty subject field",""
"passed","Mon Jan 15 09:16:18 GMT 2024","Mon Jan 15 09:16:25 GMT 2024","6595","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 19, one of the limit invalid values",""
"passed","Mon Jan 15 09:16:46 GMT 2024","Mon Jan 15 09:16:48 GMT 2024","1484","firefox","example.spec.js","","","","get started link",""
"passed","Mon Jan 15 09:16:41 GMT 2024","Mon Jan 15 09:16:47 GMT 2024","5809","firefox","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Mon Jan 15 09:16:10 GMT 2024","Mon Jan 15 09:16:13 GMT 2024","2987","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"passed","Mon Jan 15 09:16:27 GMT 2024","Mon Jan 15 09:16:28 GMT 2024","1383","chromium","example.spec.js","","","","get started link",""
"passed","Mon Jan 15 09:16:04 GMT 2024","Mon Jan 15 09:16:10 GMT 2024","5551","firefox","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Mon Jan 15 09:16:33 GMT 2024","Mon Jan 15 09:16:38 GMT 2024","4782","firefox","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"passed","Mon Jan 15 09:16:17 GMT 2024","Mon Jan 15 09:16:20 GMT 2024","3174","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 100, one of the limit values",""
"passed","Mon Jan 15 09:16:45 GMT 2024","Mon Jan 15 09:16:46 GMT 2024","1221","firefox","example.spec.js","","","","has title",""
"passed","Mon Jan 15 09:16:22 GMT 2024","Mon Jan 15 09:16:25 GMT 2024","2947","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty price field",""
"passed","Mon Jan 15 09:16:20 GMT 2024","Mon Jan 15 09:16:24 GMT 2024","4248","firefox","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890123456789012",""
"passed","Mon Jan 15 09:16:11 GMT 2024","Mon Jan 15 09:16:16 GMT 2024","4537","firefox","ContactHotel.spec.js","Room management","","","Empty name field",""
"passed","Mon Jan 15 09:16:28 GMT 2024","Mon Jan 15 09:16:31 GMT 2024","3226","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 5, one of the limit values",""
"passed","Mon Jan 15 09:16:19 GMT 2024","Mon Jan 15 09:16:24 GMT 2024","4468","firefox","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"passed","Mon Jan 15 09:16:21 GMT 2024","Mon Jan 15 09:16:24 GMT 2024","3866","firefox","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"passed","Mon Jan 15 09:16:08 GMT 2024","Mon Jan 15 09:16:10 GMT 2024","1426","chromium","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
