"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 08 15:58:25 GMT 2023","Wed Nov 08 15:58:30 GMT 2023","5497","firefox","Authentication.spec.js","Authentication page","","","Successfull login",""
"passed","Wed Nov 08 15:58:16 GMT 2023","Wed Nov 08 15:58:33 GMT 2023","17288","firefox","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Wed Nov 08 15:58:11 GMT 2023","Wed Nov 08 15:58:19 GMT 2023","7626","firefox","example.spec.js","","","","has title",""
"failed","Wed Nov 08 15:58:07 GMT 2023","Wed Nov 08 15:58:08 GMT 2023","841","chromium","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"failed","Wed Nov 08 15:58:24 GMT 2023","Wed Nov 08 15:58:30 GMT 2023","5401","firefox","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Wed Nov 08 15:57:37 GMT 2023","Wed Nov 08 15:57:42 GMT 2023","4466","chromium","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"failed","Wed Nov 08 15:58:24 GMT 2023","Wed Nov 08 15:58:30 GMT 2023","5980","firefox","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"failed","Wed Nov 08 15:58:07 GMT 2023","Wed Nov 08 15:58:08 GMT 2023","693","chromium","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Wed Nov 08 15:58:19 GMT 2023","Wed Nov 08 15:58:25 GMT 2023","5892","firefox","example.spec.js","","","","get started link",""
"passed","Wed Nov 08 15:57:37 GMT 2023","Wed Nov 08 15:57:42 GMT 2023","4596","chromium","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Wed Nov 08 15:57:37 GMT 2023","Wed Nov 08 15:57:39 GMT 2023","1378","chromium","example.spec.js","","","","get started link",""
"failed","Wed Nov 08 15:58:07 GMT 2023","Wed Nov 08 15:58:08 GMT 2023","774","chromium","Authentication.spec.js","Authentication page","","","Successfull login",""
"passed","Wed Nov 08 15:58:09 GMT 2023","Wed Nov 08 15:58:11 GMT 2023","1338","chromium","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Wed Nov 08 15:58:10 GMT 2023","Wed Nov 08 15:58:13 GMT 2023","3511","chromium","CreateRoom.spec.js","Create room test","","","Create room",""
"passed","Wed Nov 08 15:57:36 GMT 2023","Wed Nov 08 15:57:37 GMT 2023","1346","chromium","example.spec.js","","","","has title",""
