"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 08 09:15:42 GMT 2024","Mon Jan 08 09:15:43 GMT 2024","756","chromium","example.spec.js","","","","has title",""
"passed","Mon Jan 08 09:15:44 GMT 2024","Mon Jan 08 09:15:48 GMT 2024","4513","firefox","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"passed","Mon Jan 08 09:15:27 GMT 2024","Mon Jan 08 09:15:30 GMT 2024","3499","chromium","ContactHotel.spec.js","Room management","","","Empty subject field",""
"passed","Mon Jan 08 09:15:34 GMT 2024","Mon Jan 08 09:15:37 GMT 2024","3208","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 123456789012345678901",""
"passed","Mon Jan 08 09:15:29 GMT 2024","Mon Jan 08 09:15:34 GMT 2024","5077","firefox","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Mon Jan 08 09:15:19 GMT 2024","Mon Jan 08 09:15:22 GMT 2024","2350","chromium","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Mon Jan 08 09:15:36 GMT 2024","Mon Jan 08 09:15:39 GMT 2024","3635","chromium","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"passed","Mon Jan 08 09:15:48 GMT 2024","Mon Jan 08 09:15:52 GMT 2024","4028","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 4, one of the limit invalid values",""
"passed","Mon Jan 08 09:16:02 GMT 2024","Mon Jan 08 09:16:06 GMT 2024","4032","firefox","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Mon Jan 08 09:16:18 GMT 2024","Mon Jan 08 09:16:22 GMT 2024","3742","firefox","CreateRoom.spec.js","Room management","","","Create room #1 of type Single and price 80 successfully @sanity",""
"passed","Mon Jan 08 09:15:51 GMT 2024","Mon Jan 08 09:15:54 GMT 2024","3047","firefox","CreateRoom.spec.js","Room management","","","Create room #2 of type Twin and price 150 successfully @sanity",""
"passed","Mon Jan 08 09:15:40 GMT 2024","Mon Jan 08 09:15:44 GMT 2024","3084","firefox","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Mon Jan 08 09:15:28 GMT 2024","Mon Jan 08 09:15:31 GMT 2024","2756","chromium","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Mon Jan 08 09:15:27 GMT 2024","Mon Jan 08 09:15:30 GMT 2024","3602","chromium","ContactHotel.spec.js","Room management","","","Empty phone field",""
"passed","Mon Jan 08 09:15:53 GMT 2024","Mon Jan 08 09:15:56 GMT 2024","3199","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 100, one of the limit values",""
"passed","Mon Jan 08 09:15:23 GMT 2024","Mon Jan 08 09:15:36 GMT 2024","12308","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2001, one of the limit invalid values",""
