"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 09:15:56 GMT 2023","Mon Dec 25 09:16:00 GMT 2023","4192","firefox","ContactHotel.spec.js","Room management","","","Empty subject field",""
"passed","Mon Dec 25 09:16:00 GMT 2023","Mon Dec 25 09:16:04 GMT 2023","4871","firefox","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"passed","Mon Dec 25 09:15:44 GMT 2023","Mon Dec 25 09:15:47 GMT 2023","2895","chromium","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Mon Dec 25 09:15:44 GMT 2023","Mon Dec 25 09:15:50 GMT 2023","5652","firefox","Authentication.spec.js","Authentication page","","","Successfull login @sanity",""
"passed","Mon Dec 25 09:15:38 GMT 2023","Mon Dec 25 09:15:48 GMT 2023","10656","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2001, one of the limit invalid values",""
"passed","Mon Dec 25 09:16:00 GMT 2023","Mon Dec 25 09:16:06 GMT 2023","5145","firefox","CreateRoom.spec.js","Room management","","","Create room #5 of type Suite and price 300 successfully @sanity",""
"passed","Mon Dec 25 09:15:57 GMT 2023","Mon Dec 25 09:16:02 GMT 2023","4968","firefox","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"passed","Mon Dec 25 09:15:52 GMT 2023","Mon Dec 25 09:15:56 GMT 2023","3902","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 5, one of the limit values",""
"passed","Mon Dec 25 09:15:52 GMT 2023","Mon Dec 25 09:15:56 GMT 2023","4050","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"passed","Mon Dec 25 09:16:02 GMT 2023","Mon Dec 25 09:16:04 GMT 2023","1621","chromium","example.spec.js","","","","get started link",""
"passed","Mon Dec 25 09:15:44 GMT 2023","Mon Dec 25 09:15:50 GMT 2023","6137","firefox","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Mon Dec 25 09:15:39 GMT 2023","Mon Dec 25 09:15:44 GMT 2023","5350","chromium","ContactHotel.spec.js","Room management","","","Empty name field",""
"passed","Mon Dec 25 09:16:06 GMT 2023","Mon Dec 25 09:16:13 GMT 2023","6977","firefox","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Mon Dec 25 09:15:38 GMT 2023","Mon Dec 25 09:15:41 GMT 2023","2460","chromium","ContactHotel.spec.js","Room management","","","Fill and submit contact form successfully @sanity",""
"passed","Mon Dec 25 09:15:48 GMT 2023","Mon Dec 25 09:15:52 GMT 2023","3601","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 123456789012345678901",""
"passed","Mon Dec 25 09:16:09 GMT 2023","Mon Dec 25 09:16:13 GMT 2023","3834","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 100, one of the limit values",""
"passed","Mon Dec 25 09:15:44 GMT 2023","Mon Dec 25 09:15:48 GMT 2023","3626","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"passed","Mon Dec 25 09:16:01 GMT 2023","Mon Dec 25 09:16:06 GMT 2023","4479","firefox","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"passed","Mon Dec 25 09:15:43 GMT 2023","Mon Dec 25 09:15:53 GMT 2023","10081","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"passed","Mon Dec 25 09:16:06 GMT 2023","Mon Dec 25 09:16:10 GMT 2023","4603","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
