"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 14:21:49 GMT 2023","Mon Nov 06 14:21:53 GMT 2023","3771","chromium","CreateRoom.spec.js","Create room test","","","Create room",""
"passed","Mon Nov 06 14:21:46 GMT 2023","Mon Nov 06 14:21:52 GMT 2023","5758","firefox","CreateRoom.spec.js","Create room test","","","Create room",""
"passed","Mon Nov 06 14:21:21 GMT 2023","Mon Nov 06 14:21:25 GMT 2023","4499","chromium","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Mon Nov 06 14:21:20 GMT 2023","Mon Nov 06 14:21:21 GMT 2023","1562","chromium","example.spec.js","","","","has title",""
"passed","Mon Nov 06 14:21:49 GMT 2023","Mon Nov 06 14:21:51 GMT 2023","2150","chromium","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Mon Nov 06 14:21:21 GMT 2023","Mon Nov 06 14:21:26 GMT 2023","5793","chromium","EditRoom.spec.js","Edit room test","","","Edit room",""
"failed","Mon Nov 06 14:21:45 GMT 2023","Mon Nov 06 14:21:46 GMT 2023","1362","chromium","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Mon Nov 06 14:21:21 GMT 2023","Mon Nov 06 14:21:22 GMT 2023","1285","chromium","example.spec.js","","","","get started link",""
"failed","Mon Nov 06 14:21:46 GMT 2023","Mon Nov 06 14:21:48 GMT 2023","1350","chromium","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Mon Nov 06 14:21:46 GMT 2023","Mon Nov 06 14:21:48 GMT 2023","2595","firefox","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"failed","Mon Nov 06 14:21:41 GMT 2023","Mon Nov 06 14:21:45 GMT 2023","4067","firefox","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"failed","Mon Nov 06 14:21:41 GMT 2023","Mon Nov 06 14:21:45 GMT 2023","3991","firefox","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"failed","Mon Nov 06 14:21:44 GMT 2023","Mon Nov 06 14:21:46 GMT 2023","1434","chromium","Authentication.spec.js","Authentication page","","","Successfull login",""
"failed","Mon Nov 06 14:21:40 GMT 2023","Mon Nov 06 14:21:44 GMT 2023","3997","firefox","Authentication.spec.js","Authentication page","","","Successfull login",""
"passed","Mon Nov 06 14:21:40 GMT 2023","Mon Nov 06 14:21:48 GMT 2023","8936","firefox","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Mon Nov 06 14:21:38 GMT 2023","Mon Nov 06 14:21:42 GMT 2023","3941","firefox","example.spec.js","","","","has title",""
"passed","Mon Nov 06 14:21:39 GMT 2023","Mon Nov 06 14:21:49 GMT 2023","9709","firefox","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Mon Nov 06 14:21:42 GMT 2023","Mon Nov 06 14:21:44 GMT 2023","2362","firefox","example.spec.js","","","","get started link",""
