"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 11 09:16:36 GMT 2024","Mon Mar 11 09:16:40 GMT 2024","3985","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"passed","Mon Mar 11 09:16:47 GMT 2024","Mon Mar 11 09:16:51 GMT 2024","4767","firefox","CreateRoom.spec.js","Room management","","","Create room #2 of type Twin and price 150 successfully @sanity",""
"passed","Mon Mar 11 09:16:24 GMT 2024","Mon Mar 11 09:16:28 GMT 2024","3866","firefox","ContactHotel.spec.js","Room management","","","Empty email field",""
"passed","Mon Mar 11 09:16:27 GMT 2024","Mon Mar 11 09:16:31 GMT 2024","3793","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890123456789012",""
"passed","Mon Mar 11 09:16:41 GMT 2024","Mon Mar 11 09:16:43 GMT 2024","1584","firefox","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Mon Mar 11 09:16:15 GMT 2024","Mon Mar 11 09:16:26 GMT 2024","10426","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"passed","Mon Mar 11 09:16:59 GMT 2024","Mon Mar 11 09:17:01 GMT 2024","1575","firefox","example.spec.js","","","","get started link",""
"passed","Mon Mar 11 09:16:31 GMT 2024","Mon Mar 11 09:16:34 GMT 2024","3462","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 4, one of the limit invalid values",""
"passed","Mon Mar 11 09:16:28 GMT 2024","Mon Mar 11 09:16:31 GMT 2024","2988","firefox","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Mon Mar 11 09:16:12 GMT 2024","Mon Mar 11 09:16:16 GMT 2024","3635","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 20, one of the limit invalid values",""
"passed","Mon Mar 11 09:16:57 GMT 2024","Mon Mar 11 09:17:02 GMT 2024","5399","firefox","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Mon Mar 11 09:16:28 GMT 2024","Mon Mar 11 09:16:32 GMT 2024","3915","firefox","ContactHotel.spec.js","Room management","","","Empty phone field",""
