"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 13 09:20:38 GMT 2025","Mon Jan 13 09:20:42 GMT 2025","3328","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"passed","Mon Jan 13 09:20:43 GMT 2025","Mon Jan 13 09:20:46 GMT 2025","3509","firefox","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"passed","Mon Jan 13 09:20:29 GMT 2025","Mon Jan 13 09:20:31 GMT 2025","2235","chromium","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"failed","Mon Jan 13 09:20:46 GMT 2025","Mon Jan 13 09:20:47 GMT 2025","475","firefox","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Mon Jan 13 09:20:31 GMT 2025","Mon Jan 13 09:20:34 GMT 2025","3948","firefox","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Mon Jan 13 09:20:43 GMT 2025","Mon Jan 13 09:20:46 GMT 2025","2921","chromium","CreateRoom.spec.js","Room management","","","Create room #2 of type Twin and price 150 successfully @sanity",""
"passed","Mon Jan 13 09:20:42 GMT 2025","Mon Jan 13 09:20:44 GMT 2025","2837","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 4, one of the limit invalid values",""
"passed","Mon Jan 13 09:20:41 GMT 2025","Mon Jan 13 09:20:44 GMT 2025","3253","chromium","CreateRoom.spec.js","Room management","","","Create room #1 of type Single and price 80 successfully @sanity",""
"passed","Mon Jan 13 09:20:52 GMT 2025","Mon Jan 13 09:20:56 GMT 2025","3830","firefox","CreateRoom.spec.js","Room management","","","Create room #5 of type Suite and price 300 successfully @sanity",""
"passed","Mon Jan 13 09:20:35 GMT 2025","Mon Jan 13 09:20:38 GMT 2025","2979","chromium","ContactHotel.spec.js","Room management","","","Empty phone field",""
"passed","Mon Jan 13 09:20:56 GMT 2025","Mon Jan 13 09:20:59 GMT 2025","3284","firefox","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty price field",""
"passed","Mon Jan 13 09:20:31 GMT 2025","Mon Jan 13 09:20:35 GMT 2025","4646","firefox","Authentication.spec.js","Authentication page","","","Successfull login @sanity",""
"passed","Mon Jan 13 09:20:42 GMT 2025","Mon Jan 13 09:20:45 GMT 2025","3513","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"passed","Mon Jan 13 09:20:31 GMT 2025","Mon Jan 13 09:20:34 GMT 2025","2905","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 19, one of the limit invalid values",""
"passed","Mon Jan 13 09:20:46 GMT 2025","Mon Jan 13 09:20:49 GMT 2025","2883","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
"passed","Mon Jan 13 09:20:46 GMT 2025","Mon Jan 13 09:20:50 GMT 2025","3456","firefox","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 123456789012345678901",""
"passed","Mon Jan 13 09:20:39 GMT 2025","Mon Jan 13 09:20:42 GMT 2025","3298","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"failed","Mon Jan 13 09:20:41 GMT 2025","Mon Jan 13 09:20:41 GMT 2025","379","chromium","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Mon Jan 13 09:20:43 GMT 2025","Mon Jan 13 09:20:47 GMT 2025","3293","firefox","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"passed","Mon Jan 13 09:20:48 GMT 2025","Mon Jan 13 09:20:50 GMT 2025","2676","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty price field",""
"passed","Mon Jan 13 09:20:34 GMT 2025","Mon Jan 13 09:20:39 GMT 2025","4608","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 19, one of the limit invalid values",""
"passed","Mon Jan 13 09:20:34 GMT 2025","Mon Jan 13 09:20:43 GMT 2025","8762","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"passed","Mon Jan 13 09:20:31 GMT 2025","Mon Jan 13 09:20:35 GMT 2025","4734","firefox","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Mon Jan 13 09:20:51 GMT 2025","Mon Jan 13 09:20:52 GMT 2025","949","chromium","example.spec.js","","","","get started link",""
"passed","Mon Jan 13 09:20:48 GMT 2025","Mon Jan 13 09:20:53 GMT 2025","4548","chromium","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Mon Jan 13 09:20:29 GMT 2025","Mon Jan 13 09:20:31 GMT 2025","2139","chromium","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Mon Jan 13 09:20:31 GMT 2025","Mon Jan 13 09:20:41 GMT 2025","9862","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2001, one of the limit invalid values",""
"passed","Mon Jan 13 09:20:34 GMT 2025","Mon Jan 13 09:20:40 GMT 2025","5597","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 20, one of the limit invalid values",""
"passed","Mon Jan 13 09:20:48 GMT 2025","Mon Jan 13 09:20:52 GMT 2025","4190","firefox","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"passed","Mon Jan 13 09:20:46 GMT 2025","Mon Jan 13 09:20:50 GMT 2025","3986","firefox","CreateRoom.spec.js","Room management","","","Create room #1 of type Single and price 80 successfully @sanity",""
"passed","Mon Jan 13 09:20:50 GMT 2025","Mon Jan 13 09:20:51 GMT 2025","564","chromium","example.spec.js","","","","has title",""
"passed","Mon Jan 13 09:20:40 GMT 2025","Mon Jan 13 09:20:43 GMT 2025","2343","firefox","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Mon Jan 13 09:20:36 GMT 2025","Mon Jan 13 09:20:39 GMT 2025","2982","chromium","ContactHotel.spec.js","Room management","","","Empty subject field",""
"passed","Mon Jan 13 09:20:32 GMT 2025","Mon Jan 13 09:20:36 GMT 2025","3427","chromium","ContactHotel.spec.js","Room management","","","Fill and submit contact form successfully @sanity",""
"passed","Mon Jan 13 09:20:31 GMT 2025","Mon Jan 13 09:20:34 GMT 2025","2867","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 20, one of the limit invalid values",""
"failed","Mon Jan 13 09:21:04 GMT 2025","Mon Jan 13 09:21:04 GMT 2025","383","firefox","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Mon Jan 13 09:20:49 GMT 2025","Mon Jan 13 09:20:54 GMT 2025","4582","firefox","CreateRoom.spec.js","Room management","","","Create room #2 of type Twin and price 150 successfully @sanity",""
"passed","Mon Jan 13 09:20:50 GMT 2025","Mon Jan 13 09:20:52 GMT 2025","2746","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 5, one of the limit values",""
"passed","Mon Jan 13 09:20:43 GMT 2025","Mon Jan 13 09:20:45 GMT 2025","2758","chromium","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"passed","Mon Jan 13 09:20:33 GMT 2025","Mon Jan 13 09:20:36 GMT 2025","3168","chromium","ContactHotel.spec.js","Room management","","","Empty email field",""
"passed","Mon Jan 13 09:20:44 GMT 2025","Mon Jan 13 09:20:48 GMT 2025","3283","chromium","CreateRoom.spec.js","Room management","","","Create room #4 of type Family and price 250 successfully @sanity",""
"passed","Mon Jan 13 09:20:53 GMT 2025","Mon Jan 13 09:20:54 GMT 2025","1693","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 5, one of the limit values",""
"passed","Mon Jan 13 09:20:37 GMT 2025","Mon Jan 13 09:20:40 GMT 2025","3704","firefox","ContactHotel.spec.js","Room management","","","Empty name field",""
"passed","Mon Jan 13 09:20:43 GMT 2025","Mon Jan 13 09:20:47 GMT 2025","3862","firefox","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890123456789012",""
"passed","Mon Jan 13 09:20:50 GMT 2025","Mon Jan 13 09:20:53 GMT 2025","2812","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 100, one of the limit values",""
"passed","Mon Jan 13 09:20:39 GMT 2025","Mon Jan 13 09:20:43 GMT 2025","3327","firefox","ContactHotel.spec.js","Room management","","","Empty phone field",""
"passed","Mon Jan 13 09:20:41 GMT 2025","Mon Jan 13 09:20:44 GMT 2025","2986","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 123456789012345678901",""
"passed","Mon Jan 13 09:20:44 GMT 2025","Mon Jan 13 09:20:47 GMT 2025","2183","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 100, one of the limit values",""
"passed","Mon Jan 13 09:20:40 GMT 2025","Mon Jan 13 09:20:43 GMT 2025","3138","firefox","ContactHotel.spec.js","Room management","","","Empty subject field",""
"passed","Mon Jan 13 09:20:47 GMT 2025","Mon Jan 13 09:20:51 GMT 2025","3901","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"passed","Mon Jan 13 09:20:45 GMT 2025","Mon Jan 13 09:20:48 GMT 2025","2816","chromium","CreateRoom.spec.js","Room management","","","Create room #5 of type Suite and price 300 successfully @sanity",""
"passed","Mon Jan 13 09:20:54 GMT 2025","Mon Jan 13 09:20:56 GMT 2025","2671","firefox","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
"passed","Mon Jan 13 09:21:06 GMT 2025","Mon Jan 13 09:21:07 GMT 2025","1003","firefox","example.spec.js","","","","get started link",""
"passed","Mon Jan 13 09:20:37 GMT 2025","Mon Jan 13 09:20:40 GMT 2025","3410","firefox","ContactHotel.spec.js","Room management","","","Empty email field",""
"passed","Mon Jan 13 09:20:29 GMT 2025","Mon Jan 13 09:20:31 GMT 2025","2716","chromium","Authentication.spec.js","Authentication page","","","Successfull login @sanity",""
"passed","Mon Jan 13 09:20:39 GMT 2025","Mon Jan 13 09:20:48 GMT 2025","9682","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"passed","Mon Jan 13 09:20:36 GMT 2025","Mon Jan 13 09:20:39 GMT 2025","3522","firefox","ContactHotel.spec.js","Room management","","","Fill and submit contact form successfully @sanity",""
"failed","Mon Jan 13 09:20:54 GMT 2025","Mon Jan 13 09:20:54 GMT 2025","305","chromium","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Mon Jan 13 09:20:34 GMT 2025","Mon Jan 13 09:20:46 GMT 2025","12364","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2001, one of the limit invalid values",""
"passed","Mon Jan 13 09:20:47 GMT 2025","Mon Jan 13 09:20:50 GMT 2025","3321","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 4, one of the limit invalid values",""
"passed","Mon Jan 13 09:20:38 GMT 2025","Mon Jan 13 09:20:41 GMT 2025","2810","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890123456789012",""
"passed","Mon Jan 13 09:21:04 GMT 2025","Mon Jan 13 09:21:06 GMT 2025","1740","firefox","example.spec.js","","","","has title",""
"passed","Mon Jan 13 09:20:36 GMT 2025","Mon Jan 13 09:20:38 GMT 2025","2266","chromium","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Mon Jan 13 09:20:32 GMT 2025","Mon Jan 13 09:20:35 GMT 2025","2970","chromium","ContactHotel.spec.js","Room management","","","Empty name field",""
