"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 08 09:28:56 GMT 2023","Wed Nov 08 09:29:00 GMT 2023","3802","firefox","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"failed","Wed Nov 08 09:28:33 GMT 2023","Wed Nov 08 09:28:34 GMT 2023","1048","chromium","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"failed","Wed Nov 08 09:28:49 GMT 2023","Wed Nov 08 09:28:55 GMT 2023","5771","firefox","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Wed Nov 08 09:28:36 GMT 2023","Wed Nov 08 09:28:40 GMT 2023","3356","chromium","CreateRoom.spec.js","Create room test","","","Create room",""
"failed","Wed Nov 08 09:28:33 GMT 2023","Wed Nov 08 09:28:34 GMT 2023","879","chromium","Authentication.spec.js","Authentication page","","","Successfull login",""
"failed","Wed Nov 08 09:28:34 GMT 2023","Wed Nov 08 09:28:35 GMT 2023","904","chromium","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Wed Nov 08 09:28:33 GMT 2023","Wed Nov 08 09:28:37 GMT 2023","4213","firefox","example.spec.js","","","","get started link",""
"passed","Wed Nov 08 09:28:27 GMT 2023","Wed Nov 08 09:28:33 GMT 2023","5593","firefox","example.spec.js","","","","has title",""
"failed","Wed Nov 08 09:28:49 GMT 2023","Wed Nov 08 09:28:54 GMT 2023","5288","firefox","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Wed Nov 08 09:28:13 GMT 2023","Wed Nov 08 09:28:20 GMT 2023","7248","chromium","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Wed Nov 08 09:28:13 GMT 2023","Wed Nov 08 09:28:15 GMT 2023","1619","chromium","example.spec.js","","","","get started link",""
"passed","Wed Nov 08 09:28:36 GMT 2023","Wed Nov 08 09:28:38 GMT 2023","1948","chromium","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Wed Nov 08 09:28:30 GMT 2023","Wed Nov 08 09:28:44 GMT 2023","14172","firefox","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Wed Nov 08 09:28:11 GMT 2023","Wed Nov 08 09:28:13 GMT 2023","2508","chromium","example.spec.js","","","","has title",""
"passed","Wed Nov 08 09:28:13 GMT 2023","Wed Nov 08 09:28:20 GMT 2023","7066","chromium","EditRoom.spec.js","Edit room test","","","Edit room",""
"failed","Wed Nov 08 09:28:48 GMT 2023","Wed Nov 08 09:28:54 GMT 2023","5973","firefox","Authentication.spec.js","Authentication page","","","Successfull login",""
"passed","Wed Nov 08 09:28:30 GMT 2023","Wed Nov 08 09:28:44 GMT 2023","14509","firefox","EditRoom.spec.js","Edit room test","","","Edit room",""
