"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 09:23:40 GMT 2024","Mon Aug 26 09:23:43 GMT 2024","3195","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 100, one of the limit values",""
"passed","Mon Aug 26 09:23:35 GMT 2024","Mon Aug 26 09:23:39 GMT 2024","4065","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"passed","Mon Aug 26 09:23:37 GMT 2024","Mon Aug 26 09:23:40 GMT 2024","3288","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 5, one of the limit values",""
"passed","Mon Aug 26 09:23:12 GMT 2024","Mon Aug 26 09:23:23 GMT 2024","10664","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2001, one of the limit invalid values",""
"passed","Mon Aug 26 09:23:48 GMT 2024","Mon Aug 26 09:23:51 GMT 2024","3062","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 100, one of the limit values",""
"passed","Mon Aug 26 09:23:49 GMT 2024","Mon Aug 26 09:23:54 GMT 2024","4755","firefox","CreateRoom.spec.js","Room management","","","Create room #4 of type Family and price 250 successfully @sanity",""
"passed","Mon Aug 26 09:23:28 GMT 2024","Mon Aug 26 09:23:31 GMT 2024","2719","firefox","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Mon Aug 26 09:23:45 GMT 2024","Mon Aug 26 09:23:49 GMT 2024","3762","firefox","CreateRoom.spec.js","Room management","","","Create room #1 of type Single and price 80 successfully @sanity",""
"passed","Mon Aug 26 09:23:26 GMT 2024","Mon Aug 26 09:23:30 GMT 2024","4281","chromium","CreateRoom.spec.js","Room management","","","Create room #2 of type Twin and price 150 successfully @sanity",""
"passed","Mon Aug 26 09:23:34 GMT 2024","Mon Aug 26 09:23:38 GMT 2024","3497","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 4, one of the limit invalid values",""
"passed","Mon Aug 26 09:23:20 GMT 2024","Mon Aug 26 09:23:24 GMT 2024","4176","chromium","ContactHotel.spec.js","Room management","","","Empty name field",""
"passed","Mon Aug 26 09:23:17 GMT 2024","Mon Aug 26 09:23:22 GMT 2024","4650","firefox","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Mon Aug 26 09:23:20 GMT 2024","Mon Aug 26 09:23:24 GMT 2024","3904","chromium","ContactHotel.spec.js","Room management","","","Empty email field",""
"passed","Mon Aug 26 09:23:47 GMT 2024","Mon Aug 26 09:23:52 GMT 2024","4800","firefox","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"failed","Mon Aug 26 09:23:38 GMT 2024","Mon Aug 26 09:23:38 GMT 2024","260","chromium","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Mon Aug 26 09:23:24 GMT 2024","Mon Aug 26 09:23:27 GMT 2024","2946","chromium","ContactHotel.spec.js","Room management","","","Empty phone field",""
"passed","Mon Aug 26 09:23:27 GMT 2024","Mon Aug 26 09:23:30 GMT 2024","2831","chromium","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Mon Aug 26 09:23:26 GMT 2024","Mon Aug 26 09:23:29 GMT 2024","3662","chromium","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"passed","Mon Aug 26 09:23:38 GMT 2024","Mon Aug 26 09:23:47 GMT 2024","9000","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"passed","Mon Aug 26 09:23:16 GMT 2024","Mon Aug 26 09:23:26 GMT 2024","10133","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"passed","Mon Aug 26 09:23:30 GMT 2024","Mon Aug 26 09:23:33 GMT 2024","2793","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty price field",""
"passed","Mon Aug 26 09:23:38 GMT 2024","Mon Aug 26 09:23:41 GMT 2024","3068","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 5, one of the limit values",""
"passed","Mon Aug 26 09:23:31 GMT 2024","Mon Aug 26 09:23:35 GMT 2024","3843","firefox","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"passed","Mon Aug 26 09:23:17 GMT 2024","Mon Aug 26 09:23:22 GMT 2024","4444","firefox","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Mon Aug 26 09:23:14 GMT 2024","Mon Aug 26 09:23:18 GMT 2024","4052","chromium","Authentication.spec.js","Authentication page","","","Successfull login @sanity",""
"passed","Mon Aug 26 09:23:14 GMT 2024","Mon Aug 26 09:23:18 GMT 2024","3935","chromium","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Mon Aug 26 09:23:30 GMT 2024","Mon Aug 26 09:23:34 GMT 2024","3742","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"passed","Mon Aug 26 09:23:23 GMT 2024","Mon Aug 26 09:23:28 GMT 2024","4162","firefox","ContactHotel.spec.js","Room management","","","Empty email field",""
"passed","Mon Aug 26 09:23:33 GMT 2024","Mon Aug 26 09:23:38 GMT 2024","5134","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 19, one of the limit invalid values",""
"passed","Mon Aug 26 09:23:27 GMT 2024","Mon Aug 26 09:23:30 GMT 2024","2807","chromium","CreateRoom.spec.js","Room management","","","Create room #4 of type Family and price 250 successfully @sanity",""
"passed","Mon Aug 26 09:23:34 GMT 2024","Mon Aug 26 09:23:35 GMT 2024","1190","chromium","example.spec.js","","","","get started link",""
"passed","Mon Aug 26 09:23:23 GMT 2024","Mon Aug 26 09:23:27 GMT 2024","3808","chromium","CreateRoom.spec.js","Room management","","","Create room #1 of type Single and price 80 successfully @sanity",""
"passed","Mon Aug 26 09:23:32 GMT 2024","Mon Aug 26 09:23:37 GMT 2024","4230","chromium","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Mon Aug 26 09:23:48 GMT 2024","Mon Aug 26 09:23:53 GMT 2024","5128","firefox","CreateRoom.spec.js","Room management","","","Create room #2 of type Twin and price 150 successfully @sanity",""
"passed","Mon Aug 26 09:23:30 GMT 2024","Mon Aug 26 09:23:32 GMT 2024","2659","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
"failed","Mon Aug 26 09:23:23 GMT 2024","Mon Aug 26 09:23:23 GMT 2024","370","chromium","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Mon Aug 26 09:23:23 GMT 2024","Mon Aug 26 09:23:28 GMT 2024","4646","firefox","ContactHotel.spec.js","Room management","","","Fill and submit contact form successfully @sanity",""
"failed","Mon Aug 26 09:23:45 GMT 2024","Mon Aug 26 09:23:45 GMT 2024","435","firefox","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Mon Aug 26 09:23:34 GMT 2024","Mon Aug 26 09:23:37 GMT 2024","2612","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 4, one of the limit invalid values",""
"passed","Mon Aug 26 09:23:27 GMT 2024","Mon Aug 26 09:23:31 GMT 2024","3663","firefox","ContactHotel.spec.js","Room management","","","Empty phone field",""
"passed","Mon Aug 26 09:23:34 GMT 2024","Mon Aug 26 09:23:38 GMT 2024","3548","firefox","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 123456789012345678901",""
"passed","Mon Aug 26 09:23:31 GMT 2024","Mon Aug 26 09:23:34 GMT 2024","3813","firefox","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890123456789012",""
"passed","Mon Aug 26 09:23:27 GMT 2024","Mon Aug 26 09:23:30 GMT 2024","3252","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"passed","Mon Aug 26 09:23:24 GMT 2024","Mon Aug 26 09:23:27 GMT 2024","3252","chromium","ContactHotel.spec.js","Room management","","","Empty subject field",""
"passed","Mon Aug 26 09:23:12 GMT 2024","Mon Aug 26 09:23:16 GMT 2024","3882","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 19, one of the limit invalid values",""
"passed","Mon Aug 26 09:23:33 GMT 2024","Mon Aug 26 09:23:34 GMT 2024","978","chromium","example.spec.js","","","","has title",""
"passed","Mon Aug 26 09:23:28 GMT 2024","Mon Aug 26 09:23:31 GMT 2024","3751","firefox","ContactHotel.spec.js","Room management","","","Empty subject field",""
"passed","Mon Aug 26 09:23:30 GMT 2024","Mon Aug 26 09:23:33 GMT 2024","3740","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890123456789012",""
"passed","Mon Aug 26 09:23:33 GMT 2024","Mon Aug 26 09:23:38 GMT 2024","5338","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 20, one of the limit invalid values",""
"passed","Mon Aug 26 09:23:33 GMT 2024","Mon Aug 26 09:23:45 GMT 2024","11946","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2001, one of the limit invalid values",""
"passed","Mon Aug 26 09:23:36 GMT 2024","Mon Aug 26 09:23:40 GMT 2024","3762","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"passed","Mon Aug 26 09:23:23 GMT 2024","Mon Aug 26 09:23:27 GMT 2024","3636","firefox","ContactHotel.spec.js","Room management","","","Empty name field",""
"passed","Mon Aug 26 09:23:17 GMT 2024","Mon Aug 26 09:23:22 GMT 2024","4421","firefox","Authentication.spec.js","Authentication page","","","Successfull login @sanity",""
"passed","Mon Aug 26 09:23:31 GMT 2024","Mon Aug 26 09:23:34 GMT 2024","3774","firefox","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"passed","Mon Aug 26 09:23:33 GMT 2024","Mon Aug 26 09:23:36 GMT 2024","2576","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 123456789012345678901",""
