"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 13:59:04 GMT 2023","Wed Nov 29 13:59:09 GMT 2023","4474","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 100, one of the limit values",""
"failed","Wed Nov 29 13:59:25 GMT 2023","Wed Nov 29 13:59:34 GMT 2023","8722","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 5, one of the limit values",""
"passed","Wed Nov 29 13:58:30 GMT 2023","Wed Nov 29 13:58:41 GMT 2023","10313","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"passed","Wed Nov 29 13:59:02 GMT 2023","Wed Nov 29 13:59:07 GMT 2023","4655","firefox","CreateRoom.spec.js","Room management","","","Create room #4 of type Family and price 250 successfully @sanity",""
"passed","Wed Nov 29 13:58:28 GMT 2023","Wed Nov 29 13:58:32 GMT 2023","4382","chromium","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Wed Nov 29 13:58:28 GMT 2023","Wed Nov 29 13:58:31 GMT 2023","3439","chromium","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Wed Nov 29 13:58:52 GMT 2023","Wed Nov 29 13:58:56 GMT 2023","3510","firefox","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"passed","Wed Nov 29 13:58:26 GMT 2023","Wed Nov 29 13:58:30 GMT 2023","4250","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 19, one of the limit invalid values",""
"passed","Wed Nov 29 13:58:49 GMT 2023","Wed Nov 29 13:58:52 GMT 2023","3063","firefox","ContactHotel.spec.js","Room management","","","Empty subject field",""
"passed","Wed Nov 29 13:58:40 GMT 2023","Wed Nov 29 13:58:43 GMT 2023","2896","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"passed","Wed Nov 29 13:58:59 GMT 2023","Wed Nov 29 13:59:03 GMT 2023","4440","firefox","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 123456789012345678901",""
"passed","Wed Nov 29 13:58:26 GMT 2023","Wed Nov 29 13:58:38 GMT 2023","12136","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2001, one of the limit invalid values",""
"passed","Wed Nov 29 13:58:44 GMT 2023","Wed Nov 29 13:58:47 GMT 2023","3636","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 4, one of the limit invalid values",""
"passed","Wed Nov 29 13:58:51 GMT 2023","Wed Nov 29 13:58:55 GMT 2023","3458","firefox","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Wed Nov 29 13:58:42 GMT 2023","Wed Nov 29 13:58:46 GMT 2023","3420","chromium","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"passed","Wed Nov 29 13:58:48 GMT 2023","Wed Nov 29 13:58:50 GMT 2023","2430","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty price field",""
"passed","Wed Nov 29 13:58:33 GMT 2023","Wed Nov 29 13:58:37 GMT 2023","4092","chromium","ContactHotel.spec.js","Room management","","","Empty name field",""
"passed","Wed Nov 29 13:58:59 GMT 2023","Wed Nov 29 13:59:04 GMT 2023","4410","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 4, one of the limit invalid values",""
"passed","Wed Nov 29 13:58:47 GMT 2023","Wed Nov 29 13:58:50 GMT 2023","2730","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 5, one of the limit values",""
"passed","Wed Nov 29 13:58:37 GMT 2023","Wed Nov 29 13:58:41 GMT 2023","4058","chromium","ContactHotel.spec.js","Room management","","","Empty phone field",""
"passed","Wed Nov 29 13:58:38 GMT 2023","Wed Nov 29 13:58:40 GMT 2023","2596","chromium","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Wed Nov 29 13:58:51 GMT 2023","Wed Nov 29 13:58:53 GMT 2023","1933","chromium","example.spec.js","","","","get started link",""
"passed","Wed Nov 29 13:58:37 GMT 2023","Wed Nov 29 13:58:44 GMT 2023","6716","firefox","Authentication.spec.js","Authentication page","","","Successfull login @sanity",""
"passed","Wed Nov 29 13:58:49 GMT 2023","Wed Nov 29 13:58:54 GMT 2023","4406","chromium","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Wed Nov 29 13:58:43 GMT 2023","Wed Nov 29 13:58:47 GMT 2023","3636","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 123456789012345678901",""
"passed","Wed Nov 29 13:58:56 GMT 2023","Wed Nov 29 13:58:59 GMT 2023","3874","firefox","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"passed","Wed Nov 29 13:58:37 GMT 2023","Wed Nov 29 13:58:42 GMT 2023","5156","firefox","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Wed Nov 29 13:58:32 GMT 2023","Wed Nov 29 13:58:37 GMT 2023","4959","chromium","ContactHotel.spec.js","Room management","","","Fill and submit contact form successfully @sanity",""
"passed","Wed Nov 29 13:58:48 GMT 2023","Wed Nov 29 13:58:53 GMT 2023","4313","chromium","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Wed Nov 29 13:58:49 GMT 2023","Wed Nov 29 13:58:51 GMT 2023","2645","firefox","ContactHotel.spec.js","Room management","","","Empty phone field",""
"passed","Wed Nov 29 13:58:50 GMT 2023","Wed Nov 29 13:58:51 GMT 2023","972","chromium","example.spec.js","","","","has title",""
"passed","Wed Nov 29 13:58:45 GMT 2023","Wed Nov 29 13:58:52 GMT 2023","6893","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 20, one of the limit invalid values",""
"passed","Wed Nov 29 13:58:37 GMT 2023","Wed Nov 29 13:58:41 GMT 2023","3261","chromium","ContactHotel.spec.js","Room management","","","Empty subject field",""
"passed","Wed Nov 29 13:59:04 GMT 2023","Wed Nov 29 13:59:08 GMT 2023","4814","firefox","CreateRoom.spec.js","Room management","","","Create room #5 of type Suite and price 300 successfully @sanity",""
"passed","Wed Nov 29 13:58:52 GMT 2023","Wed Nov 29 13:59:04 GMT 2023","11402","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"passed","Wed Nov 29 13:58:47 GMT 2023","Wed Nov 29 13:58:51 GMT 2023","4406","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"passed","Wed Nov 29 13:58:46 GMT 2023","Wed Nov 29 13:58:48 GMT 2023","2497","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
"passed","Wed Nov 29 13:58:55 GMT 2023","Wed Nov 29 13:58:59 GMT 2023","3824","firefox","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890123456789012",""
"passed","Wed Nov 29 13:58:45 GMT 2023","Wed Nov 29 13:59:01 GMT 2023","15801","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2001, one of the limit invalid values",""
"passed","Wed Nov 29 13:58:38 GMT 2023","Wed Nov 29 13:58:39 GMT 2023","1110","chromium","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Wed Nov 29 13:58:58 GMT 2023","Wed Nov 29 13:59:04 GMT 2023","6552","firefox","ContactHotel.spec.js","Room management","","","Fill and submit contact form successfully @sanity",""
"passed","Wed Nov 29 13:58:39 GMT 2023","Wed Nov 29 13:58:43 GMT 2023","3491","chromium","CreateRoom.spec.js","Room management","","","Create room #1 of type Single and price 80 successfully @sanity",""
"passed","Wed Nov 29 13:58:45 GMT 2023","Wed Nov 29 13:58:52 GMT 2023","6890","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 19, one of the limit invalid values",""
"passed","Wed Nov 29 13:59:07 GMT 2023","Wed Nov 29 13:59:11 GMT 2023","3528","firefox","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty price field",""
"passed","Wed Nov 29 13:59:05 GMT 2023","Wed Nov 29 13:59:08 GMT 2023","2652","firefox","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
"passed","Wed Nov 29 13:58:45 GMT 2023","Wed Nov 29 13:58:49 GMT 2023","3588","firefox","ContactHotel.spec.js","Room management","","","Empty name field",""
"passed","Wed Nov 29 13:58:41 GMT 2023","Wed Nov 29 13:58:45 GMT 2023","3986","chromium","CreateRoom.spec.js","Room management","","","Create room #2 of type Twin and price 150 successfully @sanity",""
"passed","Wed Nov 29 13:58:45 GMT 2023","Wed Nov 29 13:58:49 GMT 2023","4472","chromium","CreateRoom.spec.js","Room management","","","Create room #5 of type Suite and price 300 successfully @sanity",""
"passed","Wed Nov 29 13:59:11 GMT 2023","Wed Nov 29 13:59:12 GMT 2023","1473","firefox","example.spec.js","","","","has title",""
"passed","Wed Nov 29 13:58:54 GMT 2023","Wed Nov 29 13:58:57 GMT 2023","3635","firefox","CreateRoom.spec.js","Room management","","","Create room #1 of type Single and price 80 successfully @sanity",""
