"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 29 09:24:25 GMT 2024","Mon Jul 29 09:24:31 GMT 2024","6065","firefox","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Mon Jul 29 09:23:59 GMT 2024","Mon Jul 29 09:24:03 GMT 2024","4134","firefox","ContactHotel.spec.js","Room management","","","Empty name field",""
"passed","Mon Jul 29 09:23:55 GMT 2024","Mon Jul 29 09:23:58 GMT 2024","3150","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 123456789012345678901",""
"passed","Mon Jul 29 09:23:41 GMT 2024","Mon Jul 29 09:23:44 GMT 2024","2333","chromium","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Mon Jul 29 09:23:57 GMT 2024","Mon Jul 29 09:24:01 GMT 2024","3852","chromium","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"passed","Mon Jul 29 09:23:55 GMT 2024","Mon Jul 29 09:23:58 GMT 2024","3595","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"passed","Mon Jul 29 09:24:16 GMT 2024","Mon Jul 29 09:24:21 GMT 2024","4894","firefox","CreateRoom.spec.js","Room management","","","Create room #2 of type Twin and price 150 successfully @sanity",""
"passed","Mon Jul 29 09:24:07 GMT 2024","Mon Jul 29 09:24:11 GMT 2024","3760","firefox","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890123456789012",""
"passed","Mon Jul 29 09:23:52 GMT 2024","Mon Jul 29 09:23:55 GMT 2024","3260","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890123456789012",""
"passed","Mon Jul 29 09:23:59 GMT 2024","Mon Jul 29 09:24:02 GMT 2024","3746","chromium","CreateRoom.spec.js","Room management","","","Create room #4 of type Family and price 250 successfully @sanity",""
"passed","Mon Jul 29 09:24:22 GMT 2024","Mon Jul 29 09:24:25 GMT 2024","3150","firefox","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty price field",""
"passed","Mon Jul 29 09:23:41 GMT 2024","Mon Jul 29 09:23:44 GMT 2024","2466","chromium","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Mon Jul 29 09:24:02 GMT 2024","Mon Jul 29 09:24:07 GMT 2024","5414","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 20, one of the limit invalid values",""
"passed","Mon Jul 29 09:24:02 GMT 2024","Mon Jul 29 09:24:05 GMT 2024","2974","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
"passed","Mon Jul 29 09:24:16 GMT 2024","Mon Jul 29 09:24:21 GMT 2024","4954","firefox","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"passed","Mon Jul 29 09:24:00 GMT 2024","Mon Jul 29 09:24:03 GMT 2024","3896","firefox","ContactHotel.spec.js","Room management","","","Empty email field",""
"passed","Mon Jul 29 09:23:45 GMT 2024","Mon Jul 29 09:23:48 GMT 2024","3151","chromium","ContactHotel.spec.js","Room management","","","Empty name field",""
"passed","Mon Jul 29 09:24:03 GMT 2024","Mon Jul 29 09:24:06 GMT 2024","2993","firefox","ContactHotel.spec.js","Room management","","","Empty message field",""
"failed","Mon Jul 29 09:24:14 GMT 2024","Mon Jul 29 09:24:14 GMT 2024","428","firefox","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Mon Jul 29 09:24:14 GMT 2024","Mon Jul 29 09:24:17 GMT 2024","3063","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 100, one of the limit values",""
"passed","Mon Jul 29 09:23:53 GMT 2024","Mon Jul 29 09:23:58 GMT 2024","4821","firefox","Authentication.spec.js","Authentication page","","","Successfull login @sanity",""
"passed","Mon Jul 29 09:23:51 GMT 2024","Mon Jul 29 09:23:55 GMT 2024","3251","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"passed","Mon Jul 29 09:24:01 GMT 2024","Mon Jul 29 09:24:05 GMT 2024","4051","chromium","CreateRoom.spec.js","Room management","","","Create room #5 of type Suite and price 300 successfully @sanity",""
