"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 19 09:24:02 GMT 2024","Mon Aug 19 09:24:06 GMT 2024","3637","chromium","ContactHotel.spec.js","Room management","","","Fill and submit contact form successfully @sanity",""
"passed","Mon Aug 19 09:24:09 GMT 2024","Mon Aug 19 09:24:13 GMT 2024","3235","chromium","CreateRoom.spec.js","Room management","","","Create room #2 of type Twin and price 150 successfully @sanity",""
"passed","Mon Aug 19 09:24:13 GMT 2024","Mon Aug 19 09:24:15 GMT 2024","2666","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
"passed","Mon Aug 19 09:24:10 GMT 2024","Mon Aug 19 09:24:13 GMT 2024","3647","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"passed","Mon Aug 19 09:24:20 GMT 2024","Mon Aug 19 09:24:23 GMT 2024","3260","firefox","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
"passed","Mon Aug 19 09:24:13 GMT 2024","Mon Aug 19 09:24:15 GMT 2024","2084","firefox","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Mon Aug 19 09:24:12 GMT 2024","Mon Aug 19 09:24:16 GMT 2024","3986","firefox","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"passed","Mon Aug 19 09:23:58 GMT 2024","Mon Aug 19 09:24:01 GMT 2024","3411","chromium","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Mon Aug 19 09:24:09 GMT 2024","Mon Aug 19 09:24:14 GMT 2024","5033","chromium","CreateRoom.spec.js","Room management","","","Create room #4 of type Family and price 250 successfully @sanity",""
"passed","Mon Aug 19 09:23:58 GMT 2024","Mon Aug 19 09:24:09 GMT 2024","11069","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"passed","Mon Aug 19 09:24:03 GMT 2024","Mon Aug 19 09:24:07 GMT 2024","3280","chromium","ContactHotel.spec.js","Room management","","","Empty email field",""
"passed","Mon Aug 19 09:23:54 GMT 2024","Mon Aug 19 09:23:58 GMT 2024","3139","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 19, one of the limit invalid values",""
"passed","Mon Aug 19 09:24:18 GMT 2024","Mon Aug 19 09:24:19 GMT 2024","1412","chromium","example.spec.js","","","","get started link",""
"passed","Mon Aug 19 09:24:23 GMT 2024","Mon Aug 19 09:24:28 GMT 2024","4962","firefox","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Mon Aug 19 09:24:20 GMT 2024","Mon Aug 19 09:24:23 GMT 2024","2686","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"passed","Mon Aug 19 09:24:19 GMT 2024","Mon Aug 19 09:24:29 GMT 2024","9662","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"failed","Mon Aug 19 09:24:10 GMT 2024","Mon Aug 19 09:24:10 GMT 2024","411","firefox","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Mon Aug 19 09:24:17 GMT 2024","Mon Aug 19 09:24:18 GMT 2024","698","chromium","example.spec.js","","","","has title",""
"passed","Mon Aug 19 09:24:15 GMT 2024","Mon Aug 19 09:24:19 GMT 2024","4661","chromium","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Mon Aug 19 09:24:20 GMT 2024","Mon Aug 19 09:24:23 GMT 2024","2468","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 4, one of the limit invalid values",""
