"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 27 09:23:57 GMT 2024","Mon May 27 09:24:32 GMT 2024","35196","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890123456789012",""
"broken","Mon May 27 09:18:18 GMT 2024","Mon May 27 09:18:50 GMT 2024","31494","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 19, one of the limit invalid values",""
"broken","Mon May 27 09:18:23 GMT 2024","Mon May 27 09:18:58 GMT 2024","35338","chromium","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"broken","Mon May 27 09:25:10 GMT 2024","Mon May 27 09:25:46 GMT 2024","35236","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"broken","Mon May 27 09:19:58 GMT 2024","Mon May 27 09:20:29 GMT 2024","31168","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"broken","Mon May 27 09:18:43 GMT 2024","Mon May 27 09:19:14 GMT 2024","31103","firefox","ContactHotel.spec.js","Room management","","","Fill and submit contact form successfully @sanity",""
"failed","Mon May 27 09:19:02 GMT 2024","Mon May 27 09:19:06 GMT 2024","3722","firefox","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"broken","Mon May 27 09:22:06 GMT 2024","Mon May 27 09:22:41 GMT 2024","35249","chromium","ContactHotel.spec.js","Room management","","","Empty subject field",""
"broken","Mon May 27 09:21:36 GMT 2024","Mon May 27 09:22:07 GMT 2024","31151","firefox","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"broken","Mon May 27 09:20:14 GMT 2024","Mon May 27 09:20:49 GMT 2024","35208","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"broken","Mon May 27 09:18:23 GMT 2024","Mon May 27 09:18:58 GMT 2024","35247","chromium","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"broken","Mon May 27 09:23:54 GMT 2024","Mon May 27 09:24:30 GMT 2024","35217","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
"broken","Mon May 27 09:20:15 GMT 2024","Mon May 27 09:20:50 GMT 2024","35307","chromium","ContactHotel.spec.js","Room management","","","Empty email field",""
"broken","Mon May 27 09:23:16 GMT 2024","Mon May 27 09:23:47 GMT 2024","31389","firefox","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"broken","Mon May 27 09:23:57 GMT 2024","Mon May 27 09:24:32 GMT 2024","35225","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"broken","Mon May 27 09:24:55 GMT 2024","Mon May 27 09:25:26 GMT 2024","31396","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"broken","Mon May 27 09:25:14 GMT 2024","Mon May 27 09:25:45 GMT 2024","31112","firefox","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 5, one of the limit values",""
"broken","Mon May 27 09:20:21 GMT 2024","Mon May 27 09:20:52 GMT 2024","31166","firefox","ContactHotel.spec.js","Room management","","","Empty phone field",""
"broken","Mon May 27 09:23:14 GMT 2024","Mon May 27 09:23:45 GMT 2024","31115","firefox","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
