"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 24 09:20:03 GMT 2024","Mon Jun 24 09:20:34 GMT 2024","30752","firefox","ContactHotel.spec.js","Room management","","","Empty email field",""
"passed","Mon Jun 24 09:19:37 GMT 2024","Mon Jun 24 09:19:41 GMT 2024","4328","firefox","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Mon Jun 24 09:19:44 GMT 2024","Mon Jun 24 09:19:57 GMT 2024","13019","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2001, one of the limit invalid values",""
"passed","Mon Jun 24 09:19:50 GMT 2024","Mon Jun 24 09:19:56 GMT 2024","6162","chromium","Authentication.spec.js","Authentication page","","","Successfull login @sanity",""
"passed","Mon Jun 24 09:19:50 GMT 2024","Mon Jun 24 09:19:55 GMT 2024","5308","chromium","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"passed","Mon Jun 24 09:20:01 GMT 2024","Mon Jun 24 09:20:04 GMT 2024","2867","chromium","CreateRoom.spec.js","Room management","","","Create room #3 of type Double and price 200 successfully @sanity",""
"passed","Mon Jun 24 09:20:04 GMT 2024","Mon Jun 24 09:20:07 GMT 2024","3342","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty room name",""
"passed","Mon Jun 24 09:20:07 GMT 2024","Mon Jun 24 09:20:12 GMT 2024","4886","chromium","EditRoom.spec.js","Edit room test","","","Edit room",""
"passed","Mon Jun 24 09:19:56 GMT 2024","Mon Jun 24 09:20:00 GMT 2024","3810","chromium","ContactHotel.spec.js","Room management","","","Fill and submit contact form successfully @sanity",""
"passed","Mon Jun 24 09:20:00 GMT 2024","Mon Jun 24 09:20:03 GMT 2024","3484","chromium","CreateRoom.spec.js","Room management","","","Create room #2 of type Twin and price 150 successfully @sanity",""
"broken","Mon Jun 24 09:20:08 GMT 2024","Mon Jun 24 09:20:39 GMT 2024","31069","firefox","Authentication.spec.js","Authentication page","","","Login with wrong username",""
"failed","Mon Jun 24 09:20:34 GMT 2024","Mon Jun 24 09:20:37 GMT 2024","2270","firefox","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Mon Jun 24 09:20:04 GMT 2024","Mon Jun 24 09:20:08 GMT 2024","3779","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 12345678901",""
"passed","Mon Jun 24 09:20:08 GMT 2024","Mon Jun 24 09:20:13 GMT 2024","4456","chromium","EditRoomApiUI.spec.js","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Mon Jun 24 09:20:09 GMT 2024","Mon Jun 24 09:20:11 GMT 2024","1066","chromium","example.spec.js","","","","has title",""
"passed","Mon Jun 24 09:20:00 GMT 2024","Mon Jun 24 09:20:03 GMT 2024","3291","chromium","ContactHotel.spec.js","Room management","","","Empty phone field",""
"passed","Mon Jun 24 09:19:57 GMT 2024","Mon Jun 24 09:20:01 GMT 2024","3559","chromium","CreateRoom.spec.js","Room management","","","Create room #1 of type Single and price 80 successfully @sanity",""
"passed","Mon Jun 24 09:20:08 GMT 2024","Mon Jun 24 09:20:12 GMT 2024","4230","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 101, one of the limit invalid values",""
"passed","Mon Jun 24 09:19:58 GMT 2024","Mon Jun 24 09:20:01 GMT 2024","3502","chromium","ContactHotel.spec.js","Room management","","","Empty email field",""
"passed","Mon Jun 24 09:20:00 GMT 2024","Mon Jun 24 09:20:04 GMT 2024","3734","chromium","ContactHotel.spec.js","Room management","","","Empty subject field",""
"passed","Mon Jun 24 09:20:28 GMT 2024","Mon Jun 24 09:20:34 GMT 2024","5877","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 20, one of the limit invalid values",""
"passed","Mon Jun 24 09:20:07 GMT 2024","Mon Jun 24 09:20:10 GMT 2024","3494","chromium","ContactHotel.spec.js","Room management","","","Phone with valid length, (limit values 11 and 21): 123456789012345678901",""
"passed","Mon Jun 24 09:19:44 GMT 2024","Mon Jun 24 09:19:50 GMT 2024","5677","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 20, one of the limit invalid values",""
"passed","Mon Jun 24 09:20:03 GMT 2024","Mon Jun 24 09:20:07 GMT 2024","3610","chromium","CreateRoom.spec.js","Room management","","","Create room #5 of type Suite and price 300 successfully @sanity",""
"passed","Mon Jun 24 09:20:19 GMT 2024","Mon Jun 24 09:20:22 GMT 2024","2870","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 5, one of the limit values",""
"passed","Mon Jun 24 09:19:50 GMT 2024","Mon Jun 24 09:19:55 GMT 2024","5264","chromium","Authentication.spec.js","Authentication page","","","Login with wrong password",""
"passed","Mon Jun 24 09:20:11 GMT 2024","Mon Jun 24 09:20:12 GMT 2024","1439","chromium","example.spec.js","","","","get started link",""
"passed","Mon Jun 24 09:20:11 GMT 2024","Mon Jun 24 09:20:14 GMT 2024","3003","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with valid length value of 100, one of the limit values",""
"passed","Mon Jun 24 09:20:03 GMT 2024","Mon Jun 24 09:20:08 GMT 2024","4756","chromium","CreateRoom.spec.js","Room management","","","Create room #4 of type Family and price 250 successfully @sanity",""
"passed","Mon Jun 24 09:19:50 GMT 2024","Mon Jun 24 09:20:00 GMT 2024","10116","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 2000, one of the limit invalid values",""
"passed","Mon Jun 24 09:20:00 GMT 2024","Mon Jun 24 09:20:03 GMT 2024","3294","firefox","ContactHotel.spec.js","Room management","","","Empty name field",""
"passed","Mon Jun 24 09:20:07 GMT 2024","Mon Jun 24 09:20:11 GMT 2024","3583","chromium","ContactHotel.spec.js","Room management","","","Filling up the subject with invalid length value of 4, one of the limit invalid values",""
"passed","Mon Jun 24 09:19:57 GMT 2024","Mon Jun 24 09:20:00 GMT 2024","3678","chromium","ContactHotel.spec.js","Room management","","","Empty name field",""
"failed","Mon Jun 24 09:19:52 GMT 2024","Mon Jun 24 09:19:58 GMT 2024","6628","firefox","Authentication.spec.js","Authentication page","","","Successfull login @sanity",""
"passed","Mon Jun 24 09:20:04 GMT 2024","Mon Jun 24 09:20:07 GMT 2024","3542","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890123456789012",""
"passed","Mon Jun 24 09:20:07 GMT 2024","Mon Jun 24 09:20:09 GMT 2024","2498","chromium","CreateRoom.spec.js","Room management","","","Cant create room successfully with empty price field",""
"failed","Mon Jun 24 09:19:59 GMT 2024","Mon Jun 24 09:20:01 GMT 2024","1422","chromium","CreateAndBookRoomAPI.spec.js","Create and book room API test","","","Create and book room",""
"passed","Mon Jun 24 09:20:03 GMT 2024","Mon Jun 24 09:20:07 GMT 2024","3297","chromium","ContactHotel.spec.js","Room management","","","Phone with invalid length, less than 11 and more than 21 characters (limit values 10 and 22): 1234567890",""
"broken","Mon Jun 24 09:19:42 GMT 2024","Mon Jun 24 09:20:13 GMT 2024","30740","firefox","ContactHotel.spec.js","Room management","","","Fill and submit contact form successfully @sanity",""
"passed","Mon Jun 24 09:20:01 GMT 2024","Mon Jun 24 09:20:04 GMT 2024","2613","chromium","ContactHotel.spec.js","Room management","","","Empty message field",""
"passed","Mon Jun 24 09:19:44 GMT 2024","Mon Jun 24 09:19:50 GMT 2024","6311","chromium","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 19, one of the limit invalid values",""
"passed","Mon Jun 24 09:20:28 GMT 2024","Mon Jun 24 09:20:34 GMT 2024","5987","firefox","ContactHotel.spec.js","Room management","","","Filling up the message with invalid length value of 19, one of the limit invalid values",""
